year,investor_name,investor,issuer_nationality_name,issuer_nationality,portfolio_share
2015,"Sweden","SWE","Turkey","TUR",.001528
2015,"Sweden","SWE","United Kingdom","GBR",.0027553
2015,"Sweden","SWE","United States","USA",.0167948
2015,"Switzerland","CHE","Australia","AUS",.0126726
2015,"Switzerland","CHE","Austria","AUT",.011891
2015,"Switzerland","CHE","Belgium","BEL",.0156829
2015,"Switzerland","CHE","Canada","CAN",.0324398
2015,"Switzerland","CHE","Denmark","DNK",.0118633
2015,"Switzerland","CHE","European Monetary Union","EMU",.2639915
2015,"Switzerland","CHE","France","FRA",.0527092
2015,"Switzerland","CHE","Germany","DEU",.0660798
2015,"Switzerland","CHE","Italy","ITA",.0495987
2015,"Switzerland","CHE","Japan","JPN",.0655184
2015,"Switzerland","CHE","Korea, Republic of","KOR",.0102832
2015,"Switzerland","CHE","Netherlands","NLD",.0173363
2015,"Switzerland","CHE","Poland","POL",.0135289
2015,"Switzerland","CHE","Spain","ESP",.0305125
2015,"Switzerland","CHE","Sweden","SWE",.0168329
2015,"Switzerland","CHE","Switzerland","CHE",.276799
2015,"Switzerland","CHE","United Kingdom","GBR",.0423384
2015,"Switzerland","CHE","United States","USA",.2172079
2015,"United Kingdom","GBR","Australia","AUS",.018487
2015,"United Kingdom","GBR","Brazil","BRA",.0042196
2015,"United Kingdom","GBR","Canada","CAN",.0068761
2015,"United Kingdom","GBR","European Monetary Union","EMU",.103184
2015,"United Kingdom","GBR","France","FRA",.007488
2015,"United Kingdom","GBR","Germany","DEU",.0408589
2015,"United Kingdom","GBR","Italy","ITA",.0221815
2015,"United Kingdom","GBR","Japan","JPN",.0115464
2015,"United Kingdom","GBR","Mexico","MEX",.0185809
2015,"United Kingdom","GBR","New Zealand","NZL",.0070852
2015,"United Kingdom","GBR","Norway","NOR",.005525
2015,"United Kingdom","GBR","Poland","POL",.0063988
2015,"United Kingdom","GBR","Portugal","PRT",.0087891
2015,"United Kingdom","GBR","Spain","ESP",.0173232
2015,"United Kingdom","GBR","United Kingdom","GBR",.5967077
2015,"United Kingdom","GBR","United States","USA",.1855963
2015,"United States","USA","Australia","AUS",.0014394
2015,"United States","USA","Brazil","BRA",.0093687
2015,"United States","USA","Canada","CAN",.0050001
2015,"United States","USA","Colombia","COL",.0011906
2015,"United States","USA","European Monetary Union","EMU",.0175005
2015,"United States","USA","France","FRA",.0021116
2015,"United States","USA","Germany","DEU",.0038289
2015,"United States","USA","Hungary","HUN",.0018707
2015,"United States","USA","India","IND",.0010567
2015,"United States","USA","Indonesia","IDN",.0031492
2015,"United States","USA","Italy","ITA",.0038179
2015,"United States","USA","Japan","JPN",.0093042
2015,"United States","USA","Korea, Republic of","KOR",.0054122
2015,"United States","USA","Malaysia","MYS",.0018707
2015,"United States","USA","Mexico","MEX",.0092076
2015,"United States","USA","Philippines","PHL",.0010742
2015,"United States","USA","Poland","POL",.0024057
2015,"United States","USA","Portugal","PRT",.0010052
2015,"United States","USA","Slovenia","SVN",.0011775
2015,"United States","USA","South Africa","ZAF",.000937
2015,"United States","USA","Spain","ESP",.0021867
2015,"United States","USA","Turkey","TUR",.0019536
2015,"United States","USA","Ukraine","UKR",.0015893
2015,"United States","USA","United Kingdom","GBR",.003035
2015,"United States","USA","United States","USA",.908042
2014,"Australia","AUS","Australia","AUS",.3397985
2014,"Australia","AUS","Brazil","BRA",.0155821
2014,"Australia","AUS","Canada","CAN",.0342248
2014,"Australia","AUS","European Monetary Union","EMU",.1539363
2014,"Australia","AUS","Germany","DEU",.0153892
2014,"Australia","AUS","Italy","ITA",.057319
2014,"Australia","AUS","Japan","JPN",.036743
2014,"Australia","AUS","Korea, Republic of","KOR",.0135776
2014,"Australia","AUS","Mexico","MEX",.0565061
2014,"Australia","AUS","New Zealand","NZL",.0068646
2014,"Australia","AUS","Poland","POL",.0115641
2014,"Australia","AUS","Portugal","PRT",.0067826
2014,"Australia","AUS","Slovenia","SVN",.0076705
2014,"Australia","AUS","Spain","ESP",.0446227
2014,"Australia","AUS","United Kingdom","GBR",.0254116
2014,"Australia","AUS","United States","USA",.2506342
2014,"Canada","CAN","Australia","AUS",.0036446
2014,"Canada","CAN","Brazil","BRA",.0057496
2014,"Canada","CAN","Canada","CAN",.8651559
2014,"Canada","CAN","European Monetary Union","EMU",.0217134
2014,"Canada","CAN","France","FRA",.0041242
2014,"Canada","CAN","Germany","DEU",.0040728
2014,"Canada","CAN","Hungary","HUN",.0014803
2014,"Canada","CAN","Indonesia","IDN",.002325
2014,"Canada","CAN","Ireland","IRL",.0014373
2014,"Canada","CAN","Italy","ITA",.004856
2014,"Canada","CAN","Japan","JPN",.0085048
2014,"Canada","CAN","Korea, Republic of","KOR",.0030444
2014,"Canada","CAN","Mexico","MEX",.0073388
2014,"Canada","CAN","New Zealand","NZL",.0028917
2014,"Canada","CAN","Norway","NOR",.0014257
2014,"Canada","CAN","Philippines","PHL",.0019379
2014,"Canada","CAN","Poland","POL",.0025318
2014,"Canada","CAN","Spain","ESP",.0033683
2014,"Canada","CAN","Sweden","SWE",.0020768
2014,"Canada","CAN","Turkey","TUR",.0013838
2014,"Canada","CAN","United Kingdom","GBR",.0048531
2014,"Canada","CAN","United States","USA",.0433604
